Full Name,Nickname,Height,Weight,Reach,Stance,Date of Birth
Dave Berry,,--,--,--,,--
Dave Cochran,,"5' 6""",155 lbs.,--,,"May 10, 1973"
Dave Courchaine,,"5' 8""",170 lbs.,--,,--
Dave Dalgliesh,,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978"
Dave Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,--
Dave Herman,,"6' 4""",242 lbs.,"77""",Orthodox,"Oct 03, 1984"
Dave Jansen,,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 21, 1979"
Dave Martin,,"6' 0""",205 lbs.,--,,--
Dave Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,"Jan 12, 1978"
Dave Strasser,,"5' 10""",170 lbs.,--,Orthodox,"Jul 13, 1969"
Dave Terrel,The Bionic,"5' 8""",170 lbs.,--,Southpaw,"May 10, 1978"
Dave Rickels,The Caveman,"5' 11""",155 lbs.,--,,"Jan 05, 1989"
Dave Phillips,The Rockstar,"6' 0""",185 lbs.,--,Orthodox,"Jan 12, 1980"
Dave Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,"Jul 29, 1974"
Dave Zitanick,,--,170 lbs.,--,,"Mar 05, 1980"
David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,--
David Avellan,,"5' 9""",185 lbs.,--,Orthodox,--
David Baron,,"5' 6""",155 lbs.,--,Switch,"Feb 15, 1973"
David Barrios,,"5' 6""",145 lbs.,--,,--
David Bielkheden,,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979"
David Blanco,,"5' 7""",145 lbs.,--,,--
David Branch,,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981"
David Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,"Nov 10, 1988"
David Mitchell,Daudi,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 24, 1979"
David Kaplan,Diamond,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979"
David Dodd,,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973"
David Gardner,,"5' 11""",155 lbs.,--,Orthodox,"May 17, 1977"
David Gomez,,--,155 lbs.,--,,"Aug 08, 1983"
David Heath,,"5' 11""",205 lbs.,"72""",Orthodox,"Feb 10, 1976"
David Hulett,Hollywood,"5' 10""",170 lbs.,--,,"Sep 07, 1980"
David Hood,,"6' 0""",200 lbs.,--,,--
David Lee,,"5' 10""",155 lbs.,--,Orthodox,--
David Levicki,,"6' 5""",275 lbs.,--,,--
David Velasquez,Little,"5' 5""",145 lbs.,--,Orthodox,--
David Marshall,,"6' 2""",170 lbs.,--,,"Aug 24, 1984"
David Onama,,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 07, 1994"
David Rasouri,,"5' 7""",155 lbs.,--,,--
David Roberts,,"6' 1""",170 lbs.,--,Orthodox,"Nov 15, 1975"
David Zawada,Sagat,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990"
David Smith,,--,155 lbs.,--,,--
David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,--
David Douglas,Tarzan,"5' 11""",155 lbs.,--,,"Aug 16, 1981"
David Teymur,,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989"
David Loiseau,The Crow,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979"
Abdellah Er-Ramy,The Golden Boy,--,205 lbs.,--,,"Sep 19, 1996"
David Terrell,The Soul Assassin,"6' 1""",185 lbs.,--,Southpaw,"Jan 09, 1978"
David Dvorak,Undertaker,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992"
Davi Ramos,Tasmanian Devil,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986"
Davi Bittencourt,The Black,"5' 5""",135 lbs.,"65""",Orthodox,"Oct 12, 1994"
Dayana Silva,,"5' 7""",135 lbs.,--,Orthodox,"Aug 27, 1990"
Da Woon Jung,Sseda,"6' 4""",205 lbs.,"78""",Orthodox,"Dec 07, 1993"
DeAnna Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984"
Dean Lister,The Boogeyman,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976"
Dean Hancock,The Hammer,--,155 lbs.,--,,--
Dean Barry,The Sniper,"5' 10""",170 lbs.,"72""",Orthodox,"Jul 03, 1992"
Deiveson Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987"
Deividas Taurosevicius,,"5' 9""",145 lbs.,"68""",Southpaw,"Aug 28, 1977"
Delson Heleno,Pe De Chumbo,"5' 11""",185 lbs.,--,Orthodox,"Nov 16, 1977"
Del Hawkins,The Filipino Delight,"5' 5""",135 lbs.,--,Orthodox,--
DeMarco Villalona,,"5' 9""",185 lbs.,--,,--
Demetrious Johnson,Mighty Mouse,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986"
Demetrius Gioulacos,,"5' 11""",185 lbs.,--,,--
Demian Maia,,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977"
Denise Gomes,Dee,"5' 2""",115 lbs.,"63""",Orthodox,"Dec 30, 1999"
Denis Kang,,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977"
Denis Sobolev,,"6' 3""",216 lbs.,--,Orthodox,--
Denis Stojnic,,"6' 0""",245 lbs.,--,Orthodox,"Feb 02, 1980"
Denis Tiuliulin,,"6' 1""",185 lbs.,"77""",Orthodox,"May 17, 1988"
Dennis Dombrow,,--,145 lbs.,--,,"Mar 17, 1986"
Dennis Olson,,"6' 0""",170 lbs.,--,,--
Dennis Reed,,--,205 lbs.,--,Orthodox,--
Dennis Siver,,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979"
Dennis Hallman,Superman,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975"
Dennis Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,"Oct 18, 1985"
Dennis Buzukja,The Great,"5' 9""",145 lbs.,"70""",Switch,"Oct 01, 1997"
Dennis Bermudez,The Menace,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986"
Denys Bondar,Psycho,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 27, 1992"
Dequan Townsend,The Tarantula,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986"
Derek Anderson,Barbaric,"6' 0""",155 lbs.,--,,"Feb 02, 1990"
Derek Downey,,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980"
Derek Bohi,Marshmallow,"6' 4""",260 lbs.,--,,--
Derek Brunson,The One,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984"
Derek Getzel,The Pretzel,"6' 0""",155 lbs.,--,,--
Derek Campos,The Stallion,"5' 9""",155 lbs.,--,,"Apr 01, 1988"
Deron Winn,,"5' 6""",185 lbs.,"70""",Orthodox,"Jun 13, 1989"
Derrick Burnsed,,--,155 lbs.,--,,--
Derrick Mehmen,Caveman,"6' 4""",205 lbs.,--,,"May 30, 1985"
Derrick Krantz,D-Rock,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988"
Derrick Lewis,The Black Beast,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985"
Derrick Noble,The Eraser,"5' 9""",170 lbs.,--,Southpaw,"Aug 14, 1978"
Deshaun Johnson,,--,167 lbs.,--,,--
Desmond Green,The Predator,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989"
Desmond Torres,,"5' 6""",135 lbs.,"69""",Orthodox,"Jan 06, 1997"
Devin Clark,Brown Bear,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990"
Devin Cole,,"6' 4""",240 lbs.,--,Orthodox,"Oct 01, 1976"
Devin Johnson,,--,--,--,,--
Devin Powell,,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988"
Devin Smyth,,"5' 10""",170 lbs.,"72""",Switch,"Jul 21, 1995"
Devonte Smith,King Kage,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993"
Dewey Cooper,The Black Cobra,--,205 lbs.,--,,--
Dhafir Harris,Dada 5000,--,257 lbs.,--,,"Aug 04, 1977"
Dhiego Lima,,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989"
Diana Belbita,The Warrior Princess,"5' 7""",115 lbs.,"68""",Orthodox,"Jun 26, 1996"
Diego Brandao,DB,"5' 7""",145 lbs.,"64""",Orthodox,"May 27, 1987"
Diego Ferreira,,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985"
Diego Henrique da Silva,Gaucho,"6' 2""",185 lbs.,--,Orthodox,"Aug 22, 1986"
Diego Lopes,,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994"
Diego Sanchez,Nightmare,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981"
Diego Rivas,Pitbull,"5' 8""",145 lbs.,"69""",Orthodox,"Nov 11, 1991"
Diego Nunes,The Gun,"5' 6""",145 lbs.,"67""",Orthodox,"Nov 30, 1982"
Diego Saraiva,The Octopus,"5' 6""",155 lbs.,--,Orthodox,"Apr 23, 1982"
Dieusel Berto,,"5' 9""",200 lbs.,--,,--
Dileno Lopes,,"5' 5""",135 lbs.,--,,"Sep 26, 1984"
Dillon Smith,,"6' 0""",170 lbs.,--,,--
Dimitiri Wanderley,,--,205 lbs.,--,Orthodox,--
Ding Meng,The Assassin,"6' 2""",170 lbs.,"73""",Orthodox,"Sep 27, 1994"
Dinis Paiva Jr.,Sweetbread,"5' 9""",145 lbs.,"71""",Southpaw,"May 26, 1988"
Dino Pezao,,--,205 lbs.,--,Orthodox,--
Din Thomas,Dinyero,"5' 9""",155 lbs.,--,Orthodox,"Sep 28, 1976"
Dione Barbosa,The Witch,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992"
Dion Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,"Jun 09, 1978"
Diyar Nurgozhay,,--,205 lbs.,--,,--
Djorden Santos,Shakur,"6' 0""",185 lbs.,"75""",Orthodox,"Aug 01, 1997"
Dmitrii Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982"
Dmitri Stepanov,,"6' 3""",217 lbs.,--,Orthodox,--
Dmitry Poberezhets,,"6' 3""",237 lbs.,--,,"Jun 11, 1985"
Dmitry Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989"
Dokonjonosuke Mishima,,"5' 7""",155 lbs.,--,Southpaw,"Apr 19, 1972"
Domingo Pilarte,Son of Fire,"6' 0""",135 lbs.,"73""",Southpaw,"Jan 05, 1990"
Dominick Reyes,The Devastator,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989"
Dominick Cruz,The Dominator,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985"
Dominic Brown,,"5' 11""",190 lbs.,--,,"Jun 04, 1982"
Dominic Clark,,"5' 10""",155 lbs.,--,,"Aug 01, 1985"
Dominic Waters,Sho Nuff,"6' 1""",170 lbs.,"79""",Orthodox,"Apr 11, 1989"
Dominik Humburger,,--,185 lbs.,--,,"Jan 03, 1996"
Dominique Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74""",Orthodox,"Jan 27, 1988"
Don'Tale Mayes,Lord Kong,"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992"
Donald Cerrone,Cowboy,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983"
Donald Sanchez,,"5' 10""",145 lbs.,--,,"Aug 18, 1984"
Donavon Frelow,,"5' 7""",135 lbs.,--,Orthodox,"Jan 20, 1985"
DongHun Choi,,"5' 5""",125 lbs.,"66""",Switch,"Jan 02, 1999"
Dongi Yang,The Ox,"5' 10""",185 lbs.,"73""",Southpaw,"Dec 07, 1984"
Dong Huaxiang,,"5' 3""",115 lbs.,"61""",Switch,"Aug 21, 1998"
Dong Hyun Ma,Maestro,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988"
Dong Hyun Kim,Stun Gun,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981"
Dong Sik Yoon,,"6' 0""",185 lbs.,--,Orthodox,"Aug 24, 1972"
Donnie Chappell,,"5' 11""",178 lbs.,--,Southpaw,--
Donnie Liles,,"5' 9""",170 lbs.,--,Orthodox,--
Donny Walker,Eagle Eye,"5' 9""",135 lbs.,--,,"Jan 04, 1980"
Donovan Beard,The Highlight Reel,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 05, 1989"
Don Carlo-Clauss,,--,170 lbs.,--,,--
Don Madge,Magic Man,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990"
Don Shainis,Shameless,"5' 6""",145 lbs.,"67""",Orthodox,"Sep 16, 1990"
Don Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,"Nov 23, 1965"
Dooho Choi,The Korean Superboy,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991"
Dorian Price,,"6' 3""",170 lbs.,--,Southpaw,"Aug 20, 1977"
Dorian Ramos,,"5' 8""",145 lbs.,"70""",Orthodox,"Dec 31, 1993"
Dos Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,"May 25, 1977"
Douglas Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 22, 1985"
Douglas Lima,The Phenom,"6' 1""",170 lbs.,--,,"Jan 05, 1988"
Doug Evans,,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980"
Doug Kay,,--,--,--,,--
Doug Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,"Sep 09, 1975"
Drakkar Klose,,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988"
Drako Rodriguez,,"5' 8""",135 lbs.,"69""",Orthodox,"Jun 16, 1996"
Drew Brokenshire,,--,--,--,,--
Drew Dimanlig,,--,185 lbs.,--,,--
Drew Dober,,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988"
Drew Pendleton,,--,145 lbs.,--,,"Dec 08, 1983"
Drew McFedries,The Massacre,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978"
Drew Fickett,The Master,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979"
Dricus Du Plessis,Stillknocks,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994"
Duane Ludwig,Bang,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978"
Duda Santana,Cowboyzinha,"5' 7""",145 lbs.,"73""",Orthodox,"Jan 10, 1996"
Dusko Todorovic,Thunder,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994"
Dustin Joynson,,"6' 6""",244 lbs.,"78""",Orthodox,"Oct 14, 1985"
Dustin Hazelett,McLovin,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986"
Dustin Moore,,"5' 4""",125 lbs.,--,,--
Dustin Ortiz,,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988"
Dustin Stoltzfus,,"6' 0""",185 lbs.,"75""",Orthodox,"Nov 15, 1991"
Dustin Neace,The Beast,"5' 9""",145 lbs.,"69""",,"Sep 12, 1986"
Dustin Kimura,The Diamond,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989"
Dustin Poirier,The Diamond,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989"
Dustin Pague,The Disciple,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987"
Dustin Jacoby,The Hanyak,"6' 3""",205 lbs.,"76""",Orthodox,"Apr 04, 1988"
Dustin West,,"5' 11""",170 lbs.,--,,--
Dwayne Cason,,"5' 10""",212 lbs.,--,Orthodox,--
Dwight Joseph,,"5' 6""",135 lbs.,--,Switch,"Aug 16, 1989"
Dwight Grant,The Body Snatcher,"6' 1""",185 lbs.,"76""",Switch,"Sep 14, 1984"
Dylan Potter,Big Poppa,"6' 2""",225 lbs.,"77""",Switch,"Jan 14, 1995"
Dylan Lockard,,"5' 9""",145 lbs.,"72""",Orthodox,"May 19, 1992"
Dylan Salvador,,"5' 9""",155 lbs.,"69""",Southpaw,"May 20, 1993"
Dylan Budka,The Mindless Hulk,"6' 0""",185 lbs.,"75""",Switch,"Jan 14, 2000"
Dylan Mantello,The Quiet Man,"6' 1""",155 lbs.,"73""",Orthodox,"Nov 19, 1992"
Dylan Andrews,The Villain,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979"
Ebenezer Fontes Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,"Apr 14, 1969"
Eddie Alvarez,,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984"
Eddie Mendez,,"5' 10""",185 lbs.,--,,"Jan 16, 1984"
Eddie Ruiz,,"5' 7""",155 lbs.,--,Orthodox,"Jun 10, 1967"
Eddie Yagin,The Filipino Phenom,"5' 7""",145 lbs.,--,Orthodox,"Mar 23, 1979"
Eddie Sanchez,The Manic Hispanic,"6' 2""",230 lbs.,"74""",Orthodox,"Nov 04, 1982"
Eddie Gordon,Truck,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983"
Eddie Wineland,,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 26, 1984"
Eddy Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,--
Eddy Millis,,"6' 1""",185 lbs.,--,,--
Edgar Garcia,,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984"
Edgar Cardenas,Kitty Katt,--,145 lbs.,--,,--
Edgar Chairez,Puro Chicali,"5' 7""",125 lbs.,"71""",Orthodox,"Jan 27, 1996"
Edilberto de Oliveira,Crocota,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982"
Edimilson Souza,Kevin,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984"
Edivan Santos,Pe De Sapo,"6' 4""",248 lbs.,"78""",Orthodox,"May 03, 1992"
Edmen Shahbazyan,The Golden Boy,"6' 3""",185 lbs.,"75""",Orthodox,"Nov 20, 1997"
Ednaldo Oliveira,Lula,"6' 5""",205 lbs.,--,Orthodox,"Feb 19, 1984"
Edson Drago,,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977"
Edson Gomez,,"5' 8""",170 lbs.,"69""",Switch,"Feb 23, 1991"
Edson Barboza,Junior,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986"
Edson Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,"Jul 05, 1983"
Edson Silva,Paredao,--,205 lbs.,--,Orthodox,--
Eduarda Moura,Ronda,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 28, 1994"
Eduardo Neves,Bebezao,"6' 2""",263 lbs.,"78""",Orthodox,"Mar 16, 2000"
Eduardo Bustillos,,"5' 8""",135 lbs.,--,,"Jun 02, 1987"
Eduardo Torres Caut,Cyborg,"5' 7""",135 lbs.,"70""",Orthodox,"Apr 26, 1995"
Eduardo Dantas,Dudu,"5' 10""",135 lbs.,--,,"Feb 03, 1989"
Eduardo Garagorri,,"5' 9""",145 lbs.,"70""",Orthodox,"May 28, 1989"
Eduardo Pamplona,,"5' 11""",170 lbs.,--,,"Feb 20, 1973"
Edward Faaloloto,,--,155 lbs.,"70""",Orthodox,"Jul 15, 1984"
Edwin DeWees,Babyface,"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982"
Edwin Figueroa,El Feroz,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984"
Edwin Aguilar,Tigre,"5' 10""",185 lbs.,--,,--
Ed Ratcliff,9mm,"5' 10""",155 lbs.,"71""",Orthodox,"Mar 05, 1983"
Ed Herman,Short Fuse,"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980"
Efrain Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986"
Egan Inoue,,"5' 9""",190 lbs.,--,Southpaw,"Jul 04, 1965"
Egidijus Valavicius,,"6' 0""",200 lbs.,--,Orthodox,--
Eiji Ishikawa,,"5' 10""",170 lbs.,--,,"Oct 12, 1979"
Eiji Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,"Jan 01, 1976"
Elaina Maxwell,Beef,"5' 8""",145 lbs.,--,Orthodox,"Dec 16, 1978"
Eldari Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,"Apr 16, 1972"
Eldo Xavier Dias,,"5' 11""",180 lbs.,--,,"Jul 16, 1964"
Elias Garcia,,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992"
Elias Theodorou,The Spartan,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988"
Elias Urbina,,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 09, 1993"
Elias Silverio,Xuxu,"5' 11""",155 lbs.,"73""",Orthodox,"Sep 22, 1986"
Elijah Smith,Swift,"5' 9""",135 lbs.,"71""",Orthodox,"Sep 05, 2002"
Eliot Marshall,Fire,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980"
Elise Reed,,"5' 3""",115 lbs.,"63""",Orthodox,"Dec 05, 1992"
Elisha Helsper,Knuckles,"5' 6""",135 lbs.,--,Orthodox,"Feb 06, 1983"
Elizabeth Phillips,,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986"
Elizeu Zaleski dos Santos,Capoeira,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986"
Eli Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996"
Eli Tamez,Tomahawk,"5' 7""",135 lbs.,--,,"Aug 22, 1985"
Elves Brener,,"5' 10""",155 lbs.,"72""",Orthodox,"Sep 27, 1997"
Elvis Mutapcic,The King,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986"
Elvis Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 13, 1971"
Emanuel Newton,The Hardcore Kid,"6' 1""",205 lbs.,--,,"Jan 02, 1984"
Emiliano Linares,Golden Bull,"5' 8""",145 lbs.,"72""",Orthodox,"Apr 21, 1997"
Emiliano Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,"Feb 15, 1991"
Emilio Chavez,,"5' 9""",145 lbs.,--,,--
Emilio Cuellar,Show Kid,--,125 lbs.,--,,--
Emily Fernandez,,--,--,--,,--
Emily Ducote,Gordinha,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994"
Emily Kagan,,"5' 3""",115 lbs.,--,,"Jul 14, 1981"
Emily Whitmire,Spitfire,"5' 5""",125 lbs.,"63""",Orthodox,"May 24, 1991"
Emil Meek,Valhalla,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988"
Emmanuel Sanchez,El Matador,"5' 9""",145 lbs.,"71""",,"Aug 11, 1990"
Emmanuel Yarborough,,"6' 8""",770 lbs.,--,Open Stance,"Sep 05, 1960"
Emrah Sonmez,Anatolian Wolf,"5' 10""",145 lbs.,"71""",Orthodox,"Jun 26, 1992"
Enrique Barzola,El Fuerte,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989"
Enrique Marin,Wasabi,"5' 10""",170 lbs.,--,,"Sep 02, 1986"
Enrique Watson,,--,185 lbs.,--,,--
Enson Inoue,Yamato Damashii,"5' 10""",210 lbs.,--,Orthodox,"Apr 15, 1967"
Eperaim Ginting,The Wolfman,"5' 4""",135 lbs.,"64""",Orthodox,"Nov 30, 1995"
Ericka Almeida,,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989"
Erick Montano,Perry,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985"
Erick Sanchez,,"5' 10""",145 lbs.,--,,"Oct 04, 1990"
Erick Silva,,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984"
Erick Gonzalez,The Ghost Pepper,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 20, 1992"
Erick Wanderlei,,"6' 1""",205 lbs.,--,Orthodox,--
Eric Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,"Aug 03, 1968"
Eric Castile,,"5' 8""",145 lbs.,--,,--
Eric Galvan,,--,155 lbs.,--,,--
Eric Irvin,,"5' 8""",155 lbs.,--,,"Jan 10, 1986"
Eric Jacob,,--,155 lbs.,--,,--
Eric Lawson,,"6' 0""",185 lbs.,--,Orthodox,--
Eric Wisely,Little Lee,"5' 8""",145 lbs.,--,Southpaw,"Jul 25, 1984"
Eric Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,"Sep 11, 1984"
Eric Magana,,--,--,--,,--
Eric Martin,,--,--,--,,--
Eric Schafer,Red,"6' 3""",185 lbs.,"76""",Orthodox,"Sep 20, 1977"
Eric Schambari,,"5' 11""",185 lbs.,--,Orthodox,"Apr 22, 1978"
Eric Schwartz,,--,205 lbs.,--,,--
Eric Shelton,Showtime,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1991"
Eric Smith,,--,--,--,Southpaw,--
Eric Steenberg,,--,155 lbs.,--,,"Jun 22, 1983"
Eric Wray,,"6' 0""",170 lbs.,--,Orthodox,--
Eric Spicely,Zebrinha,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986"
Erik Apple,,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977"
Erik Perez,Goyito,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989"
Erik Koch,Phoenix,"5' 10""",170 lbs.,"71""",Southpaw,"Oct 04, 1988"
Erik Silva,The King,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 16, 1987"
Erin Blanchfield,Cold Blooded,"5' 4""",125 lbs.,"66""",Orthodox,"May 04, 1999"
Erisson Ferreira,Gato,"5' 6""",125 lbs.,"70""",Orthodox,"May 03, 1991"
Ernesta Kareckaite,Heavy-Handed,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998"
Ernest Chavez,EJ,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983"
Ernie Juarez,The Young Titan,"5' 8""",145 lbs.,"70""",,"Jan 12, 1998"
Ernie Verdicia,,"5' 11""",199 lbs.,--,Orthodox,--
Errol Zimmerman,The Bonecrusher,"6' 3""",185 lbs.,--,Orthodox,"Apr 20, 1986"
Eryk Anders,Ya Boi,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987"
Esteban Ribovics,El Gringo,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 27, 1996"
Estefani Almeida,,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988"
Estevan Payan,El Terrible,"5' 10""",145 lbs.,--,Orthodox,"Mar 14, 1982"
Eugene Jackson,The Wolf,"5' 8""",185 lbs.,--,Orthodox,"Sep 23, 1966"
Eugenio Tadeu,,"5' 8""",160 lbs.,--,Orthodox,--
Eun Soo Lee,,"6' 1""",215 lbs.,--,Orthodox,"Mar 07, 1982"
Evangelista Santos,Cyborg,"5' 10""",170 lbs.,"76""",Orthodox,"Dec 12, 1977"
Evan Dunham,,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981"
Evan Esguerra,,--,145 lbs.,--,,--
Evan Tanner,,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971"
Evan Elder,The Phenom,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997"
Everett Cummings,,--,205 lbs.,--,,--
Everett Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77""",Southpaw,"Sep 04, 1988"
Ewerton Teixeira,,"6' 1""",242 lbs.,--,,"Feb 13, 1982"
